Acetylene,C2H2,26.038
Air,(Mix),28.966
Ammonia (R-717),NH3,17.02
Argon,Ar,39.948
Benzene,C6H6,78.114
n - Butane,C4H10,58.124
1_2 - Butadiene,C4H6,54.092
1-Butene,C4H8,56.108
cis -2-Butene,C4H8,56.108
trans-2-Butene,C4H8,56.108
Carbon Dioxide,CO2,44.01
Carbon Disulphide,CS2,76.13
Carbon Monoxide,CO,28.011
Chlorine,Cl2,70.906
Cyclohexane,C6H12,84.162
Cyclopentane,C5H10,70.135
n - Decane,C10H22,142.286
Deuterium,D2,2.014
2_3 - Dimetylbutane,C6H14,86.178
2_2 - Dimethylpentane,C7H16,100.205
Diisobutyl Phthalate,C16H22O4,114.232
Ethane,C2H6,30.07
Ethyl Alcohol,C2H6O,46.07
Ethylbenzene,C8H10,106.168
Ethyl Chloride,C2H5Cl,64.515
3 - Ethylpentane,C7H16,100.205
Ethylene,C2H4,28.054
Fluorine,F2,37.996
Helium,He,4.002602
n - Heptane,C7H16,100.205
n - Hexane,C6H14,86.178
Hydrochloric Acid,HCl,36.47
Hydrogen,H2,2.016
Hydrogen Chloride,HCl,36.461
Hydrogen Sulfide,H2S,34.076
Hydroxyl,OH,17.01
Isobutane (2-Metyl propane),C4H10,58.124
Isobutene,C4H8,56.108
Isooctane,C8H18,210.63
Isopentane,C5H12,72.151
Isoprene,C5H8,68.119
Isopropylbenzene,C9H12,120.195
Krypton,Kr,83.8
Methane,CH4,16.043
Methyl Alcohol,CH3OH,32.04
Methyl Butane,C5H12,72.15
Methyl Chloride,CH3Cl,50.488
Methylcyclohexane,C7H14,98.189
Methylcyclopentane,CH3C5H9,84.162
2 - Methylhexane,C7H16,100.205
2 - Methylpentane,C6H14,86.178
Natural Gas,(mix),19
Neon,Ne,20.179
Neohexane,(CH3)3CCH2CH3,86.178
Neopentane,C5H12,72.151
Nitric Oxide,NO,30.006
Nitrogen,N2,28.0134
Nitrous Oxide,N2O,44.013
n - Nonane,C9H20,128.259
n - Octane,C8H18,114.232
Oxygen,O2,31.9988
Ozone,O3,47.998
n - Pentane,C5H12,72.151
Propane,C3H8,44.097
Propene,C3H6,42.081
Propylene,C3H6,42.081
R-11,CCl3F,137.37
R-12,CCl2F2,120.92
R-22,CHClF2,86.48
R-114,C2Cl2F4,170.93
R-123,C2HCl2F3,152.93
R-134a,CH2FCF3,102.03
R-611,C2H4O2,60.05
Styrene,C8H8,104.152
Sulfur,S,32.02
Sulfur Dioxide,SO2,64.06
Sulfuric Oxide,SO2,48.1
Toluene,C6H5CH3,92.141
Triptane,C7H16,100.205
Xenon,Xe,131.3
o - Xylene,C8H10,106.168
Water Vapor - Steam,H2O,18.02
